284098597-7,287353870-8,Talcum Powder,Comedy,2012
206513160-8,861825986-1,Watchmen: Tales of the Black Freighter,Action|Adventure|Animation|Horror,2004
411454204-3,657546195-6,Unmade Beds,Documentary,2009
321174488-6,801204038-7,Page Miss Glory,Comedy,2008
067388250-0,932842325-2,Zus & Zo,Comedy|Drama|Romance,1996
787186440-8,799375791-6,Blood Runs Cold,Horror,2008
077993095-9,494317351-9,Season of Monsters (Szörnyek évadja) ,Drama,2010
522752658-3,054758956-5,Yellow Sky,Crime|Western,1994
381636505-1,755385214-7,Hollywood Complex. The,Documentary,1993
515549296-3,244772955-3,Green Pastures. The,Drama,1993
518471455-3,210488569-8,Rose Tattoo. The,Drama|Romance,2011
639732823-6,638204889-5,St Trinian's 2: The Legend of Fritton's Gold,Adventure|Comedy,1996
813448933-8,198751635-4,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika),Adventure|Animation|Drama|Fantasy|Sci-Fi,1990
520701652-0,900033769-0,Justice League: Doom ,Action|Animation|Fantasy,2002
209998029-2,459067332-0,Bertie and Elizabeth,Drama,2011
023922825-1,811899445-7,Distant Thunder,Drama,2008
909063063-5,833875532-X,Birdcage Inn (Paran daemun),Drama,2007
282037587-1,818669816-7,True Grit,Western,1988
979343473-2,824188993-3,Jim Jefferies: Alcoholocaust,Comedy,2005
319715961-6,649972357-6,Little Lord Fauntleroy,Drama,2007
582982206-7,894692342-3,Night of the Living Dead,Horror|Sci-Fi|Thriller,1990
559771140-7,926398088-8,Saludos Amigos,Animation|Children|Comedy,2006
452786590-0,702612043-3,Crimes and Misdemeanors,Comedy|Crime|Drama,1995
684026005-4,635307869-2,Crawlspace,Horror|Thriller,1995
275760826-6,640947335-4,Fast Food. Fast Women,Comedy|Romance,1993
020269309-0,461060536-8,Compliance,Drama|Thriller,1998
207153509-X,790592613-3,David and Lisa,Drama,2001
010573573-6,400279515-2,She,Action|Adventure|Drama|Fantasy|Horror|Romance|Sci-Fi,2004
191831852-2,337131387-5,Ju-on: Black Ghost,Horror,2010
398095406-4,818980477-4,Inglourious Basterds,Action|Drama|War,1998
569105973-4,502575222-1,May in the Summer,Comedy|Drama,2009
368562543-8,173539677-X,Winter Nomads,Documentary,2004
295768957-X,898758499-2,Killer Klowns from Outer Space,Comedy|Horror|Sci-Fi,2003
988056073-6,514624411-1,Beau Geste,Action|Adventure|Drama|War,1998
837164149-4,946448435-7,Orwell Rolls in His Grave,Documentary,2010
031057414-5,266911562-4,Vengeance: The Story of Tony Cimo,(no genres listed),2002
590413543-2,283396383-1,North by Northwest,Action|Adventure|Mystery|Romance|Thriller,2006
620027564-5,449032507-X,Quarantine 2: Terminal,Horror|Mystery|Sci-Fi,2010
008672912-8,139208798-8,Delta,Drama,2006
526916297-0,964531258-2,Who's the Man?,Comedy,2002
561058506-6,190734509-4,Shanghai Dreams (Qing hong),Drama,1990
537807622-6,292255373-6,With Great Power: The Stan Lee Story,Documentary,1995
890304340-5,079316835-X,Honeydripper,Drama,1985
006402642-6,625900345-5,Susannah of the Mounties,Drama,2006
315402887-0,263951098-3,Senso,Drama|Romance|War,2009
814433595-3,777442334-6,Monsignor,Drama|War,2000
567489242-3,020865426-7,Agent Red,Action,1986
290675323-8,899353501-9,Unforgiven,Drama|Western,1996
568599079-0,568491246-X,Anatomy of Hell (Anatomie de l'enfer),Drama,1984
371011704-6,793985153-5,If You Love (Jos rakastat),Drama|Musical|Romance,2012
186558691-9,405713321-6,Peaceful Warrior,Drama,1992
719432312-5,553346820-X,Sophie's World (Sofies verden),Adventure|Drama|Fantasy,1987
162303766-2,434942367-2,Last of England. The,Drama,2005
067993835-4,328444348-7,Living and the Dead. The,Drama|Horror|Mystery,2004
718609435-X,808416693-X,Madagascar Skin,Romance,2006
967021278-2,731975304-9,That's Entertainment. Part II,Documentary,2006
911730428-8,747919172-3,In the Name of the Law,Drama,1999
291653820-8,294209983-6,Urban Legends: Final Cut,Horror,2011
373847032-8,515773377-1,Hospital. The,Comedy|Drama,2003
103861916-5,563141212-8,Flight Command,Drama|War,2010
057302587-8,883352149-4,Mr. Death: The Rise and Fall of Fred A. Leuchter. Jr.,Documentary,2007
864135104-3,292480037-4,Deceit,Sci-Fi,2008
026961643-8,639888879-0,Boy,Drama|Romance,2000
821384434-3,775303500-2,Sherlock Holmes: Terror by Night,Crime|Mystery|Thriller,2009
233444567-3,602584132-2,Terumae romae (Thermae Romae),Comedy|Sci-Fi,1996
091334674-8,731276920-9,Bomb It,Documentary,2011
482304910-1,650264767-7,New Wave. A,Action|Crime,2003
613698513-6,236373779-2,When Night Is Falling,Drama|Romance,1994
465268485-1,091424024-2,I Want Someone to Eat Cheese With,Comedy,2008
501745713-5,998385234-9,Newsies,Children|Musical,2008
049602969-X,720129299-4,Millennium Mambo (Qian xi man po),Drama|Romance,1999
540489027-4,975980669-X,Day of the Outlaw,Western,1994
992138573-9,760062291-2,Attack!,Drama|War,2012
229098486-8,498508743-2,Barabbas,Adventure|Drama,2012
316672789-2,187670128-5,Stuck ,Documentary,2004
779369273-X,184698184-0,Bring It On,Comedy,1997
165870019-8,769923472-3,Indian Summer (a.k.a. Alive & Kicking),Comedy|Drama,2002
619728522-3,139450722-4,Sunchaser. The,Drama,1987
236595810-9,385260398-6,Lust for Life,Drama,1997
408524943-6,750970832-X,Student Prince in Old Heidelberg. The,Drama|Romance,1964
867470878-1,035668901-8,Jimmy's Hall,Drama,1994
914839180-8,340115511-3,The Cruel Sea,Drama|War,2011
702435685-5,751816706-9,Fiddle-de-dee,Animation|Musical,2004
774486437-9,176697967-X,Quiet American. The,Drama|Thriller|War,2012
281148043-9,638665468-4,Poolboy: Drowning Out the Fury,Comedy,2010
730511646-7,168915788-7,Sleeping Beauty. The (La belle endormie),Drama,2012
801204892-2,189199579-0,Flood,Action|Drama|Thriller,2010
345383197-7,610918519-1,Erin Brockovich,Drama,1990
428954860-1,955767358-3,Harry Potter and the Order of the Phoenix,Adventure|Drama|Fantasy|IMAX,2004
233058537-3,477254026-1,Jakob the Liar,Drama,2005
854457229-4,253284874-X,Alice in Wonderland,Adventure|Children|Fantasy,1996
409440564-X,758366229-X,Mexican Hayride,Comedy,2008
749084275-1,980197132-0,Emotion,Comedy|Horror,2007
090486636-X,088710619-6,Moon-Spinners. The,Children|Mystery,2008
991199717-0,385322172-6,Blue Chips,Drama,2008
555176634-9,030726951-5,Cherrybomb,Drama|Thriller,2009
080892241-6,085768301-2,As I Lay Dying,Drama,2012
407614521-6,851072206-4,Paper Will Be Blue. The (Hîrtia va fi albastrã),Action|Drama,1998
157383779-2,082929564-X,17 Girls (17 filles),Drama,1990
239531399-8,236711844-2,Jar City (Mýrin),Crime|Drama|Thriller,1994
489201121-5,003143344-8,Ebola Syndrome. The (Yi boh laai beng duk),Comedy|Horror,1994
490243529-2,988203502-7,The Land Before Time IX: Journey to the Big Water,Adventure|Animation|Children,2000
673185906-0,154405778-4,Good Night to Die. A,Action|Comedy|Crime|Thriller,1992
649179279-X,456134070-X,The Bride Wore Red,Comedy|Drama|Romance,2007
125141264-5,082292232-0,Julia's Eyes (Ojos de Julia. Los),Horror|Thriller,2008
921091190-3,984101530-7,Who Killed Bambi? (Qui a tué Bambi?),Drama|Thriller,2004
924693606-X,185649762-3,Toe to Toe,Drama,1989
345074999-4,062149788-6,Without a Clue,Comedy|Mystery,2001
839707653-0,687675466-9,Wave. The,Drama,1993
236696598-2,996346155-7,Goya in Bordeaux (Goya en Burdeos),Drama,2006
088433413-9,344323300-7,Around the Bend,Drama,1992
604456830-X,233345014-2,Ito: A Diary of an Urban Priest (Seitti - kilvoittelijan päiväkirja),Documentary,2013
756552429-8,507593689-X,Mr. & Mrs. Smith,Comedy|Romance,1998
166244642-X,886288843-0,Matador. The,Comedy|Drama|Thriller,2001
